strSampleName	strExperimentType	strDataset	strTCRType	strCondition	strTimePoint	strCellType	strCellSort	strToxoGroup	strExpSetting	strPairType	bamRawData	fastq1RawData	fastq2RawData	strAlignmentGenome	strExperimentBatch	strSequencingBatch	dirRNAOut	strSRARun	dirRNACollect
# Name (Jim will double-check these names after the download finishes)	# Typically “rna_bulk”,”chip”,”mpra”,”atac”,”dnase”,etc.	# Name of dataset. Feel free to change the one below. If you do atac, or another round of rna, we’ll give it a different name.	# “OT1”, “F5”, “TG6”, “Polyclonal”	# Something like “WT” , “GATA_KO”, “ etc.	# Day1, Day2, Day3, etc. 	# Maybe something like “DP-MHC1 OT1”, “Mature CD4”?  Whatever you think would be most useful.	# Example: “CXCR4+,CCR7-,Cd4+,CD8+”		“in vivo” or “in vitro”	# “single” or “paired” for single or paired end reads	(Jim will fill in)	(Jim will fill in)	(Jim will fill in)	# Shorthand for alignment genome we use					
2D2B-1	rna_bulk	Round1_InVivoRNA-Seq	2D2	class-2 restricted	1-CL2R	immature CD4	CD4+CD8+		in vivo	single				mm10		June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round1/IndividualSamples/2D2B-1		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
ANDA-1	rna_bulk	Round1_InVivoRNA-Seq	AND	class-2 restricted	3-CL2R	mature CD4	CD4+CD8-		in vivo	single				mm10		June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round1/IndividualSamples/ANDA-1		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
ANDA-2	rna_bulk	Round1_InVivoRNA-Seq	AND	class-2 restricted	3-CL2R	mature CD4	CD4+CD8-		in vivo	single				mm10		June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round1/IndividualSamples/ANDA-2		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
ANDA-3	rna_bulk	Round1_InVivoRNA-Seq	AND	class-2 restricted	3-CL2R	mature CD4	CD4+CD8-		in vivo	single				mm10		June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round1/IndividualSamples/ANDA-3		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
ANDB-1	rna_bulk	Round1_InVivoRNA-Seq	AND	class-2 restricted	1-CL2R	immature CD4	CD4+CD8+		in vivo	single				mm10		June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round1/IndividualSamples/ANDB-1		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
ANDB-2	rna_bulk	Round1_InVivoRNA-Seq	AND	class-2 restricted	1-CL2R	immature CD4	CD4+CD8+		in vivo	single				mm10		June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round1/IndividualSamples/ANDB-2		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
B2MA-1	rna_bulk	Round1_InVivoRNA-Seq	CD4_polyclonal	class-2 restricted	3-CL2R	mature CD4	CD4+CD8-		in vivo	single				mm10		June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round1/IndividualSamples/B2MA-1		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
B2MA-2	rna_bulk	Round1_InVivoRNA-Seq	CD4_polyclonal	class-2 restricted	3-CL2R	mature CD4	CD4+CD8-		in vivo	single				mm10		June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round1/IndividualSamples/B2MA-2		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
B2MA-3	rna_bulk	Round1_InVivoRNA-Seq	CD4_polyclonal	class-2 restricted	3-CL2R	mature CD4	CD4+CD8-		in vivo	single				mm10		June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round1/IndividualSamples/B2MA-3		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
B2MB-1	rna_bulk	Round1_InVivoRNA-Seq	CD4_polyclonal	class-2 restricted	1-CL2R	immature CD4	CD4+CD8+CD5+CD69+		in vivo	single				mm10		June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round1/IndividualSamples/B2MB-1		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
B2MB-2	rna_bulk	Round1_InVivoRNA-Seq	CD4_polyclonal	class-2 restricted	1-CL2R	immature CD4	CD4+CD8+CD5+CD69+		in vivo	single				mm10		June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round1/IndividualSamples/B2MB-2		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
F5A-1	rna_bulk	Round1_InVivoRNA-Seq	F5	class-1 restricted	3-CL1R	mature CD8	CD4-CD8+		in vivo	single				mm10		June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round1/IndividualSamples/F5A-1		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
F5A-2	rna_bulk	Round1_InVivoRNA-Seq	F5	class-1 restricted	3-CL1R	mature CD8	CD4-CD8+		in vivo	single				mm10		June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round1/IndividualSamples/F5A-2		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
F5A-3	rna_bulk	Round1_InVivoRNA-Seq	F5	class-1 restricted	3-CL1R	mature CD8	CD4-CD8+		in vivo	single				mm10		June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round1/IndividualSamples/F5A-3		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
F5B-1	rna_bulk	Round1_InVivoRNA-Seq	F5	class-1 restricted	2-CL1R	semi-mature CD8	CD4+CD8+CXCR4-CCR7+		in vivo	single				mm10		June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round1/IndividualSamples/F5B-1		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
F5B-2	rna_bulk	Round1_InVivoRNA-Seq	F5	class-1 restricted	2-CL1R	semi-mature CD8	CD4+CD8+CXCR4-CCR7+		in vivo	single				mm10		June2017	/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/RNASeq_Round1/IndividualSamples/F5B-2		/data/yosef2/RobeyLab/TCRtoCD4OrCD8/out/Collect_All_54/
