pathway,F5_vs_OT1_immature_padj,F5_vs_OT1_immature_NES,F5_vs_TG6_immature_padj,F5_vs_TG6_immature_NES,OT1_vs_TG6_immature_padj,OT1_vs_TG6_immature_NES,F5_vs_OT1_semimature_padj,F5_vs_OT1_semimature_NES,F5_vs_TG6_semimature_padj,F5_vs_TG6_semimature_NES,F5_vs_CD8_polyclonal_semimature_padj,F5_vs_CD8_polyclonal_semimature_NES,OT1_vs_TG6_semimature_padj,OT1_vs_TG6_semimature_NES,OT1_vs_CD8_polyclonal_semimature_padj,OT1_vs_CD8_polyclonal_semimature_NES,TG6_vs_CD8_polyclonal_semimature_padj,TG6_vs_CD8_polyclonal_semimature_NES,F5_vs_OT1_mature_padj,F5_vs_OT1_mature_NES,F5_vs_TG6_mature_padj,F5_vs_TG6_mature_NES,F5_vs_CD8_polyclonal_mature_padj,F5_vs_CD8_polyclonal_mature_NES,OT1_vs_TG6_mature_padj,OT1_vs_TG6_mature_NES,OT1_vs_CD8_polyclonal_mature_padj,OT1_vs_CD8_polyclonal_mature_NES,TG6_vs_CD8_polyclonal_mature_padj,TG6_vs_CD8_polyclonal_mature_NES
GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_DN,0.021497405485544845,2.691865610004157,0.01780090173697633,-2.818378228992605,0.015164673035082314,-3.066690540673271,0.017727967396841567,2.209171647144704,0.45631655144646327,-1.0562947691471982,0.01116816431322208,-1.62909422584679,0.018843842101598944,-2.3859051876537305,0.015719475759355218,-2.6130428983971283,0.009137370005345136,-1.6056869325187975,0.014083041381941797,2.2572698298338043,0.2517569243489045,1.1774784453580873,0.05372502315733756,1.3691523458125248,0.010058717141936922,-2.4884985424517945,0.0160852598007171,-1.5688883174218533,0.017758208432962035,1.468519551779766
GSE21033_3H_VS_24H_POLYIC_STIM_DC_UP,0.021497405485544845,2.5213570252238786,0.01780090173697633,-2.973614350908187,0.015164673035082314,-3.082937249538748,0.017411317356281583,2.2565329622450694,0.18147114606361517,1.2574766797233712,0.016704209995782805,1.5869794710724543,0.018843842101598944,-2.221098992642506,0.015719475759355218,-1.6643250600644566,0.010598677340758788,1.4875841835898245,0.013894592744695414,2.210113995717125,0.02430640437834575,1.5149024140558187,0.01859400045798031,2.2976543385588655,0.010058717141936922,-2.021976051978906,0.05314909090909091,1.4339198489478902,0.017758208432962035,2.214692544636036
GSE21063_CTRL_VS_ANTI_IGM_STIM_BCELL_3H_DN,0.021497405485544845,2.5160161947834365,0.01780090173697633,-2.1388051440243037,0.015164673035082314,-2.6332314866750823,0.017411317356281583,2.42159610096902,0.014128496237330897,1.603328899680803,0.032663350272865016,1.485629784134002,0.018843842101598944,-2.3864713668174273,0.015719475759355218,-1.7296069425308125,0.13283224966355708,1.2392238597205907,0.014083041381941797,2.1078224183360126,0.02430640437834575,1.773731546272665,0.01859400045798031,2.0959453133258554,0.010058717141936922,-1.9069544197687422,0.06369480878156877,1.4398250353677093,0.017758208432962035,1.99535531186838
GSE21033_1H_VS_12H_POLYIC_STIM_DC_UP,0.021497405485544845,2.4585260609599775,0.01780090173697633,-2.998393457282889,0.015164673035082314,-3.039461034341886,0.017713529471648174,2.314013527640161,0.021148128052088985,1.6223192079470075,0.06706781729801493,-1.332951319453998,0.018843842101598944,-2.0766747058895176,0.015719475759355218,-2.4176815974458545,0.009137370005345136,-1.6787779278926793,0.014083041381941797,2.0670568370492606,0.02430640437834575,1.5774692913097847,0.01859400045798031,2.1431500995477566,0.010058717141936922,-1.9236034890183995,0.027503876435786653,1.5611683994915928,0.017758208432962035,2.024827226030204
GSE13493_DP_VS_CD4INTCD8POS_THYMOCYTE_UP,0.021497405485544845,2.4188686039219736,0.01780090173697633,-2.6364576442331447,0.015164673035082314,-2.9432331612924383,0.017727967396841567,2.7432623798901354,0.014128496237330897,2.0089319917257424,0.012275348771583275,1.9927654066148395,0.018843842101598944,-2.478065220047016,0.015719475759355218,-1.7170899205480012,0.010598677340758788,1.5607773782112784,0.014083041381941797,2.7009016139766633,0.02430640437834575,2.146414866994078,0.01859400045798031,2.705461250125249,0.010058717141936922,-2.1504878246748613,0.027503876435786653,1.6703173109847735,0.017758208432962035,2.490928932626449
GSE7509_UNSTIM_VS_FCGRIIB_STIM_MONOCYTE_DN,0.021497405485544845,2.3816883886455917,0.01780090173697633,-1.796577527820126,0.015164673035082314,-2.5601528420342445,0.017411317356281583,2.151627329710666,0.021148128052088985,1.4323917414667027,0.012275348771583275,2.3932515031239157,0.018843842101598944,-1.8966696855477296,0.015719475759355218,1.6725055101067707,0.010598677340758788,2.277898710444595,0.014083041381941797,2.291715095349276,0.02430640437834575,1.785570580414805,0.01859400045798031,2.6496312372413677,0.010058717141936922,-1.775562502785421,0.027503876435786653,2.049201409194204,0.017758208432962035,2.512818732511708
GSE31082_DN_VS_DP_THYMOCYTE_DN,0.021622389291769115,2.2703796077986196,0.017873455057725536,-2.306626129645129,0.015413916818000618,-2.6176683785916945,0.017788293024886083,2.5570594558322592,0.014128496237330897,1.9474187042926459,0.012275348771583275,2.456223017522289,0.01886690159934942,-2.3076156906156555,0.22979864680902937,1.180875702039774,0.010598677340758788,2.044016225817345,0.014100078140827137,2.601187661688392,0.024547790598075273,2.2043468755013347,0.01859400045798031,2.5212117748078735,0.010058717141936922,-1.9278970122571415,0.027503876435786653,1.7421405937607772,0.017758208432962035,2.2519289408237495
GSE4590_LARGE_PRE_BCELL_VS_VPREB_POS_LARGE_PRE_BCELL_UP,0.021497405485544845,2.255518281321228,0.009285128928360427,1.5914464863357511,0.015164673035082314,-1.7343209316907109,0.05622576475657044,1.3422910970932802,0.04419656950436704,1.3974679682954996,0.15562945368171022,1.2007927067490844,0.33801644291809757,-1.0890324278955614,0.06894382983540777,-1.362805411515994,0.3253170138851544,-1.1069037283667587,0.014083041381941797,1.6891098305884742,0.17036831540984676,1.2613321606330374,0.09137070117448484,1.185409080331116,0.010058717141936922,-1.559993727605009,0.4506273152592856,-1.0792387781227661,0.20553359683794467,1.1467537617170154
GSE2405_S_AUREUS_VS_UNTREATED_NEUTROPHIL_DN,0.02187028657616893,2.253733216071422,0.01780090173697633,-1.7763655780134067,0.01572018585441404,-2.2575625379849185,0.017788293024886083,2.181225201540012,0.014128496237330897,2.2270337198059353,0.014868799326143087,-1.5492745950562963,0.018843842101598944,-1.4358503314919255,0.015719475759355218,-2.254108922459111,0.009137370005345136,-2.2067627185288066,0.05250973240729963,1.3592680379261657,0.15024091896128594,1.270633046343166,0.018784555948828278,1.8980417824666662,0.13691658987200367,-1.2319061515559837,0.027503876435786653,1.6298983666295916,0.017983699503897943,1.8891722448972612
GSE31082_DP_VS_CD8_SP_THYMOCYTE_UP,0.021497405485544845,2.2463638100481402,0.09731296235096727,-1.2931495866084666,0.015164673035082314,-2.0065776312426684,0.017788293024886083,2.582738153064635,0.014128496237330897,2.274505827986408,0.016704209995782805,1.6971881930133408,0.018843842101598944,-1.8764657331406147,0.015719475759355218,-1.7630190202798721,0.22437218374405143,-1.1641083936649843,0.014100078140827137,2.3071868605526977,0.02430640437834575,2.4794507111275217,0.01859400045798031,2.656357144159001,0.04123041301499934,-1.368987625779708,0.027503876435786653,1.9554474309556544,0.017758208432962035,2.2878142948912954
