pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdgestr
VOLTAGE_GATED_CALCIUM_CHANNEL_COMPLEX,0.011933174224343675,0.12218898114222326,-0.6838803103036444,-1.7723672753468116,4,15,"CACNB3, CACNB1, CACNA1E, CACNA1H"
CHROMOSOMAL_PART,0.0042796005706134095,0.06041300222982425,0.476568202850428,1.6280259665305579,2,86,"MCM3, MCM2, MAF, TIPIN, MCM7, KLHDC3, RCC1, BUB1, POLA1, SMC1A, CDCA5, NDC80, CENPF, SUV39H2, CDT1, DNMT3A, CENPA, SMC4, PCNA, INCENP, OIP5, BIRC5, SMC2, RFC3, SYCE2, RFC4, PIF1, RFC1, NSL1, RPA2, HELLS, SYCE1, RFC5, MAD2L1, DSN1, STAG3, CENPE, JUNB, PSEN1, PSEN2, RFC2"
RNA_PROCESSING,0.00258732212160414,0.054521251663948105,0.42122758156137347,1.5548174792374883,1,163,"RBPMS, PABPC1, RPS14, NHP2, IGF2BP3, DKC1, PABPC4, NOP58, RNPS1, LSM6, DDX54, FBL, NSUN2, SF3A2, NUDT21, INTS2, SNRPB, SNRPN, SSB, INTS6, INTS9, GRSF1, NCBP1, SLBP, NOLC1, HNRNPC, SNRPA1, RBMS1, SRPK1, CWC15, SFPQ, TRA2A, SNRPB2, SNRPD2, SNRNP40, SNRPD1, PHF5A, METTL1, SRPK2, DHX38, EFTUD2, U2AF1, BCAS2, AGGF1, SRSF9, SRSF2, SNRPC, LSM3, CPSF3, NOP56, HNRNPA0, THG1L, LSM5, DUSP11, SNW1, HNRNPD, SF3B3, USP39, RP9, SF3B4, INTS8, RNMT, PRPF8, SRSF11, SYNCRIP, DIS3, SETX, SCAF11, PPAN, SMNDC1, SNRPD3, PTBP1, FARS2, NUFIP1, NONO, TXNL4A"
TRANSLATION,0.0013175230566534915,0.0462644775359552,0.6801762886055012,2.4801995347920003,0,149,"IRF4, TLR1, RPL28, RPS5, RPL13, RPL15, RPL4, NACA, RPL37, RPL7, EIF3H, RPS17, RPL38, RPS11, EIF3E, RPL22, EEF1A1, RPL26, RPL7A, RPL34, RPS19, RPL24, EIF3F, RPS9, RPS3A, RPL35, RPL19, RPL8, RPL11, RPL6, RPL3, RPS2, RPL27A, PABPC4, AIMP1, EIF2AK4, RRBP1, EIF2A, EIF4B, EIF3D, EIF3B, RPL30, EIF5A, MRPL52, EIF3G, EIF1AX, RPL29, EIF3C, EIF2B5, COPS5, EIF4G3, TNFRSF8, EIF3A, TUFM, PAIP2, EIF5, TLR7, NDUFA13, MRPS24, EIF1, ETF1, FURIN, MRPL10"
KINASE_BINDING,0.07951070336391437,0.36013413100636354,-0.3438508764785664,-1.2650111996333235,25,66,"MAP3K12, AKAP12, INSR, IGF1R, LCK, RAD9A, NOD2, SIT1, MAP2K7, RB1, MAPK8IP3, TRIP6, PTPRR, TOP2B, TRIB3, CCDC88A, CD4, KIF13B, ITGB2, DLG1, CAMK2N1, AVPR1A, LLGL1, APC, ZC3HC1, TPRKB, SOCS1, LATS1, AKAP5"
VOLTAGE_GATED_POTASSIUM_CHANNEL_ACTIVITY,0.0025188916876574307,0.054521251663948105,-0.7773799357109062,-2.308342264523294,0,25,"KCNA2, KCNH2, KCNH3, KCNA3"
VOLTAGE_GATED_CHANNEL_ACTIVITY,0.0029239766081871343,0.05489692667824511,-0.5511547466816453,-1.9710759671303437,0,58,"KCNA2, CACNB3, KCNH2, KCNH3, KCNA3, CACNB1, CACNG4, NOX1, CACNA1E, SCN11A, SCN5A, CACNA1H, KCNIP2, CLCN1, CLCN2, KCNQ3, KCNQ2, CLCNKB, CLCNKA, CACNA1D"
STRUCTURAL_CONSTITUENT_OF_RIBOSOME,0.0015151515151515152,0.0462644775359552,0.8725269935418208,2.802523298226746,0,58,"RPS18, RPS8, RPL28, RPS5, RPL13, RPLP0, RPL15, RPL4, RPL37, RPL7, RPS15, RPS17, RPS6, RPL38, RPS28, RPS11, RPL22, RPL26, RPL7A, RPLP2, RPL34, RPS21, RPS19, RPS4X, RPL24, RPS13, RPS14, RPS9, RPS16, RPS7, RPS3A, RPL35, RPL19, RPL8, RPL11, RPL6, RPL3, RPS2, RPL27A, RPS15A, RPL30, MRPL52, FAU, RPL29, MRPS12, MRPL12, MRPS14"
VOLTAGE_GATED_CATION_CHANNEL_ACTIVITY,0.002932551319648094,0.05489692667824511,-0.5786882771348456,-2.0284090901076803,0,53,"KCNA2, CACNB3, KCNH2, KCNH3, KCNA3, CACNB1, CACNG4, NOX1, CACNA1E, SCN11A, SCN5A, CACNA1H"
STRUCTURAL_MOLECULE_ACTIVITY,0.0012853470437017994,0.0462644775359552,0.6797830696091361,2.5376592769593964,0,177,"VIM, ADD3, RPS18, RPS8, RPL28, RPS5, RPL13, RPLP0, RPL15, RPL4, RPL37, RPL7, RPS15, RPS17, RPS6, RPL38, RPS28, RPS11, RPL22, RPL26, RPL7A, RPLP2, RPL34, RPS21, RPS19, RPS4X, RPL24, RPS13, RPS14, RPS9, RPS16, RPS7, RPS3A, RPL35, RPL19, RPL8, RPL11, RPL6, RPL3, RPS2, RPL27A, SPTBN1, RPS15A, ARPC3, ARPC4, MSN, MYL6, FBLN1, SPTAN1, MYL6B, TPM4, RPL30, MRPL52, ACTN2, FAU, NEB, RPL29, MRPS12, MRPL12, MRPS14, VILL, CROCC"
CALCIUM_CHANNEL_ACTIVITY,0.002551020408163265,0.054521251663948105,-0.5887626309800734,-1.8104843101470274,0,30,"CACNB3, CACNB1, TRPV6, CACNG4, CACNA1E"
