Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Dcpp3,7.425659199979067,32.2380125092013,4.208870282191048,7.659540529345769,NA,NA
Dcpp2,131.8877970108265,25.866842357520223,4.206267386573313,6.149595349094761,NA,NA
Dcpp1,93.0355559177055,25.24218087573989,4.2063317131763105,6.000996259203453,NA,NA
Col9a1,22.11762417727711,8.929967457049804,4.206803856518758,2.122743955179215,0.03377531352540663,0.16479150879353152
Col11a1,48.130235774173094,8.691618562891644,4.20590147160141,2.0665292854761725,0.03877853011966853,0.18100073201968128
H19,27.273075867054935,7.7326734915048965,4.200168135201194,1.8410390352467378,0.06561583854082065,0.2535865565694112
Fmod,5.49124235006718,6.935940363052767,4.208887091105945,1.6479274005020292,0.09936756989140179,0.3261306549448634
Hapln1,14.731005844305658,6.921430915969708,4.2045673720096435,1.6461695826416247,0.0997288497782669,0.3268565767258675
Bgn,4.540579796811452,6.661191306589096,3.3521169970168474,1.9871595509694608,0.04690471870207048,0.2045396424895896
Sox9,4.291086437620398,6.5396241817658645,4.209766067776396,1.5534412308140682,0.12031775916431711,0.36494214361475863
Clec3a,3.803637973814879,6.406142662229889,4.210120781419838,1.5216054348135484,0.12810797495901588,NA
Prelp,3.912866600857538,6.402661295270018,4.2101304408077125,1.520775041364673,0.1283162997669139,NA
Zim1,3.0833436136270707,6.103253757273887,4.211058234052307,1.4493396714204823,0.14724274736465606,NA
Col2a1,287.93287906448217,5.953258985151195,1.2618627465406704,4.717834012828842,2.3836884698353013e-6,7.253667652337946e-5
Irs1,5.375551498752864,5.913561446476024,1.4186513024567253,4.168439021086657,3.066927848647273e-5,6.676649459621232e-4
BC048546,4.0990912732731495,5.88839214025325,4.211853039713557,1.3980526112216185,NA,NA
Meg3,7.873198695477615,5.868229475059177,1.9494517318021314,3.0101948046871674,0.002610801814186552,0.02582756451942287
Wfdc18,2.4774091116172623,5.624468308522897,3.2406964075016997,1.7355739635169596,0.0826391929646935,NA
Susd5,2.140130473121186,5.5754089798960305,3.625733335882474,1.5377327738690472,0.12411396673906762,NA
Sorbs2,1.778311158969098,5.308833012950898,3.76609893502659,1.409637161566871,0.1586468481620529,NA
Capn6,1.7040048988630727,5.246776390494372,3.824922762936398,1.3717339448879262,0.1701462771167737,NA
Zfp462,1.744282899131729,5.166806450331273,3.308980567784724,1.561449620053319,0.11841770198985918,NA
Crispld1,1.6056017631984405,5.161854172423301,3.862161516434703,1.3365194983322164,0.1813795317185765,NA
Acan,34.32787763800336,5.1465884955375385,2.101466965248236,2.449045633667431,0.014323529972620805,0.09093005558129072
Epyc,1.3749866299325293,4.937931762592287,4.033864390870319,1.2241194259698236,0.22090717882607644,NA
Edil3,1.3170808924372759,4.874977068486853,4.105707416827977,1.1873659210361378,0.23508331617039901,NA
Matn3,3.8513618066062807,4.851666516512633,1.8085867317119262,2.682573321723015,0.007305813482533251,NA
Col9a2,13.354476499746994,4.814415298153775,1.4525186476936462,3.314529080778585,9.179763072046953e-4,0.011291592573155821
Cd109,1.2307261945519472,4.777377523705058,4.172352311722194,1.1450081792668971,0.2522057691920898,NA
Shox2,1.2900230531958072,4.770556575848219,3.52855079291046,1.351987503037561,0.1763793131092577,NA
Colgalt2,1.4098649730960207,4.769433824549387,3.0359897242564644,1.570965074895784,0.11619076141571731,NA
Mmp2,1.1564199344459216,4.686633806902595,4.219313454106826,1.1107574390665165,0.26667277082898927,NA
Pip,1.5122211533492702,4.6389696573821135,4.219756336355293,1.0993453857548812,0.27161744286323863,NA
Rian,3.057911109196423,4.553791351429943,4.204306771687077,1.0831253756496526,0.27875277701361606,NA
Slc8a3,1.0536647139498208,4.552802024302315,4.220594941576036,1.0787109607353667,0.28071659797176907,NA
Nckap5,1.2665616798547303,4.506746158004198,3.0744595388941285,1.4658661468757717,0.14268475619761742,NA
Peg3,13.07865164930857,4.499615851614026,2.026413013737851,2.220483100488084,0.02638599159627325,0.13922016975674065
Gm15350,1.9028237423689398,4.48647066545564,1.7415326065448964,2.5761623116299543,0.009990373706794602,NA
Gli3,0.9880626235067326,4.461313948556472,4.221541672032589,1.0567973255155474,0.2906040951826762,NA
Upk3b,2.3812177558222243,4.449127552980522,1.7320051310708753,2.5687727323473264,0.010205936647367266,NA
Hes3,1.7706124546020172,4.443021730621502,1.8212952602386607,2.4394845951772215,0.014708229756631786,NA
Ctgf,0.9509094934537198,4.40541841366991,4.222150213349195,1.043406366675746,0.2967601260918665,NA
Nrk,2.823565018838816,4.4008658676009675,4.205276300482808,1.0465105151582321,0.29532539268943414,NA
Pard3,0.9465574086222512,4.39740912006142,4.222239350817741,1.041487408621151,0.2976493939934176,NA
Cyr61,1.075499540873488,4.396680897306433,3.720317457844012,1.181802614192603,0.23728403029839887,NA
Sertad4,1.2027974278241453,4.395386839019248,3.16803502159767,1.387417376719091,0.16531452934389812,NA
Ccdc80,1.9078351690089699,4.284972077928692,1.7275102500427626,2.4804322161461108,0.013122321099237238,NA
Igf2,57.39365679316473,4.281591741940923,1.0678400356133748,4.009581584456652,6.082643475932812e-5,0.0011727939858967975
Lect1,11.923306060779009,4.252025705717948,1.273066317318554,3.3399875936345125,8.378213259741932e-4,0.010584677726522343
4930579F01Rik,1.4455731124319269,4.240772139437338,2.32606929473921,1.8231495291342115,0.06828074679726275,NA
Myh1,0.8394501032946817,4.223078287380362,4.224306770459221,0.9997091870582293,0.31745126476334196,NA
Kif21a,0.9540343636693633,4.194378809847777,3.866852899608245,1.084700897278175,0.2780541503416002,NA
Gdf10,0.9376338410585913,4.165802249021042,3.8352528479831527,1.0861871209382494,0.2773962140925151,NA
Rprl3,1.0488151781183732,4.12852773478875,2.681778076148233,1.5394740420573672,0.12368861027039572,NA
Rbp7,2.6839387594278183,4.112299299513285,1.5666871533506743,2.624837569337509,0.008669031201867072,NA
3110079O15Rik,0.8930552008990877,4.0884826084047425,3.140720237734387,1.3017659323117683,0.19299641302669696,NA
Gbgt1,1.1561356524665722,4.081213147448148,2.741757251165802,1.4885392008037202,0.13660875206548997,NA
Pappa,0.7410469676300494,4.04615348366509,4.226675269579412,0.957289885216972,0.3384209592257187,NA
3110039I08Rik,0.7410469676300494,4.04615348366509,4.226675269579412,0.957289885216972,0.3384209592257187,NA
Zcchc5,0.7410469676300494,4.04615348366509,4.226675269579412,0.957289885216972,0.3384209592257187,NA
Cacna2d1,0.7313120234263069,4.02752627498456,3.8728441971286434,1.0399401757423135,0.29836769551833997,NA
Ppp1r3c,0.7202943601878088,4.003465137064433,4.227291334562838,0.9470521003205113,0.34361223103622546,NA
P3h3,6.971256222270201,3.9951740270378333,1.4105141470033264,2.832423932454476,0.00461965562830774,0.03988899520822479
Dab2,0.8348786205624904,3.970572371219275,3.9100942679898085,1.015467172677798,0.30988318709032864,NA
Col5a2,0.6995417527455681,3.959365236147699,4.227947099280888,0.9364746396238329,0.34902886393236787,NA
Unc5c,0.6995417527455681,3.959365236147699,4.227947099280888,0.9364746396238329,0.34902886393236787,NA
Mup4,0.6995417527455681,3.959365236147699,4.227947099280888,0.9364746396238329,0.34902886393236787,NA
Cxcl1,0.6995417527455681,3.959365236147699,4.227947099280888,0.9364746396238329,0.34902886393236787,NA
Parva,0.6995417527455681,3.959365236147699,4.227947099280888,0.9364746396238329,0.34902886393236787,NA
Zfp532,1.8197372708997495,3.8969119627566617,1.9792314425380795,1.9689016044325938,0.04896439128573317,NA
Zfpm2,0.666740707524024,3.89128418598408,4.228999424523319,0.9201429925525929,0.35749804015352415,NA
Ucma,0.666740707524024,3.89128418598408,4.228999424523319,0.9201429925525929,0.35749804015352415,NA
A2m,0.666740707524024,3.89128418598408,4.228999424523319,0.9201429925525929,0.35749804015352415,NA
Srpx,0.7977254905094777,3.890899613653345,3.987892805844201,0.975678084413725,0.3292240158866086,NA
Slc6a18,0.647270819116539,3.849342888359189,4.024580292071162,0.9564582165108722,0.3388407845969586,NA
Lypd4,1.4136480443273836,3.838868838554975,2.1772775081487463,1.7631509186070702,0.07787503925626434,NA
Lum,0.6339396623024799,3.819977823006826,4.2301558377328154,0.9030347744952518,0.3665074392471234,NA
Uaca,0.8959092282733874,3.8197408829275448,3.9354021647939548,0.970610047709707,0.3317425005805352,NA
Klf17,0.89266169758713,3.8164194557276474,2.2838379131043225,1.6710553029309128,0.09471075484164758,NA
Tenm3,2.051863849535042,3.8004504133681367,1.6969497531804922,2.2395774572848595,0.02511836755472323,NA
Vmn2r-ps54,1.747111489901776,3.7759598211041556,1.785366794626226,2.1149490583500343,0.03443428929667716,NA
Gabrb1,1.2581685571822128,3.7682036534263705,2.064102977874833,1.8255889816631394,0.06791219673581089,NA
Tcp11l1,1.1777977714758556,3.767229754841259,1.9060141829860398,1.9764961816492692,0.04809860778120199,NA
Col3a1,1.9940554412601132,3.7528733632710525,2.292266536337654,1.6371889148925085,0.10159100251719402,NA
Plxna2,0.72566308210368,3.7451757503657532,4.049121244409098,0.924935442606708,0.35499948912549245,NA
Nova1,0.7326108252151308,3.740813406628539,3.3698614988416367,1.1100792741524879,0.26696486746211023,NA
Hao1,1.2345048480139547,3.715758096202666,2.803405580259857,1.3254443532420448,0.18502381444601576,NA
Boc,2.316557845893694,3.6936015650729606,2.452553128332377,1.5060230591556805,0.13206125426120152,NA
Kcna6,0.8245775910612858,3.667984746883265,3.389960828879215,1.082013902826119,0.27924635033750705,NA
Prss57,1.0589370865858327,3.662152002376578,2.8201963435089668,1.2985450501719418,0.19410010629612265,NA
Colec12,1.711994567393742,3.63740191678187,3.2788634239271675,1.109348407206688,0.2672799100013465,NA
Pga5,1.1866817247828163,3.6373542876523386,2.1009077845604267,1.7313250559511744,0.08339380498710483,NA
Myh4,0.5596334021964545,3.6364269698590426,4.233407495208595,0.8589834486698434,0.39034964761296237,NA
Gpx8,0.5596334021964545,3.6364269698590426,4.233407495208595,0.8589834486698434,0.39034964761296237,NA
Scrg1,0.5596334021964545,3.6364269698590426,4.233407495208595,0.8589834486698434,0.39034964761296237,NA
Mir6934,7.389077986118585,3.619701107593873,1.206869887730707,2.999247180157957,0.002706476370234392,0.02654888313282482
Thbs1,19.322245204934212,3.6105087325061835,1.2255764836814673,2.945967698124151,0.003219460192437482,0.03010421093770199
Pappa2,0.5475849644171511,3.610081542979833,4.233908856735254,0.8526592482587235,0.3938482960064401,NA
Enpp7,0.5401635137889695,3.5866877505257913,4.234361732082522,0.8470433036815219,0.39697098499099887,NA
Lpo,0.5365393390569915,3.5770656029204084,4.234550131663592,0.8447333227142872,0.3982597499325479,NA
Satl1,0.9005098505159831,3.56106307579961,2.18242167460889,1.6317025794008326,0.10274215642590538,NA
Sox11,0.5268323569749104,3.551212223049273,4.235062557457393,0.8385265093182747,0.40173506570592465,NA
Plekhh2,0.5268323569749104,3.551212223049273,4.235062557457393,0.8385265093182747,0.40173506570592465,NA
Galnt18,0.5268323569749104,3.551212223049273,4.235062557457393,0.8385265093182747,0.40173506570592465,NA
Fat3,0.5268323569749104,3.551212223049273,4.235062557457393,0.8385265093182747,0.40173506570592465,NA
Lrrc15,1.0385949893197641,3.540679993012054,2.1293659099334876,1.6627860794120863,0.09635526412696152,NA
Aldh3b2,0.5170694506495065,3.5253291809466454,4.2355847837371385,0.8323122687763033,0.40523270727309685,NA
Lpar1,0.6431582933990803,3.5237599635524237,3.4297352250349356,1.0274145764463583,0.30422529063628945,NA
Pcsk1,38.8582471528933,3.522011287774134,0.600035762737681,5.8696689539051015,4.366661625743573e-9,2.741010288661818e-7
Yap1,2.3202761086596433,3.5135204277522556,1.4724227158767067,2.3862172118556613,0.017022693500331136,NA
4930557J02Rik,1.3978112499600042,3.5071816366470037,1.8948199235068603,1.850931369856005,0.06417942708937296,NA
Amotl2,2.205202623270354,3.503336298482426,2.4617554827741532,1.4231049033897205,0.15470574713990656,NA
Ceacam2,1.4453654021655347,3.480382799065622,1.8238916528592442,1.908217954509283,0.05636305198066622,NA
Tcaf1,0.4940313117533663,3.4609480206629577,4.236924816141905,0.8168537726884795,0.4140119981816441,NA
Gpc4,0.4940313117533663,3.4609480206629577,4.236924816141905,0.8168537726884795,0.4140119981816441,NA
Scara3,0.6119641084589622,3.4609469227751397,4.236924557979106,0.8168535633369678,0.4140121178349451,NA
Ghsr,0.6229454818829416,3.4605861259570343,2.8400324767537994,1.2185023073794343,0.22303314847399874,NA
Dusp13,0.7392340332879582,3.4601338147458676,2.424219653543208,1.427318605262762,0.15348808017506557,NA
Olfr9,0.8584691834571138,3.4338996797204917,2.473148580640923,1.3884728586871184,0.1649931038894573,NA
Gm11186,2.5028205784247124,3.427485935676366,1.7980107746047491,1.9062655152496621,0.05661576595699645,NA
Dlgap2,1.242879619572999,3.425736153282333,2.396313083889918,1.4295862157215953,0.15283581406659158,NA
Mtcl1,1.2191507870598264,3.4001669239051915,2.098401165035047,1.6203607682653964,0.10515480214541986,NA
Adcy2,0.4732787043111256,3.395103689409595,4.23835807218121,0.8010422035112181,0.4231072138268033,NA
Olfr1446,0.4709372486139033,3.3942204121626043,4.23837774324222,0.8008300858918104,0.4232300191326608,NA
Tshr,0.8374796257878004,3.3850641131443417,3.488479768803196,0.9703550937621366,0.33186952424052424,NA
Trim67,0.6676526830999696,3.373353595800623,3.519783682374849,0.9583979869821353,0.33786210992526194,NA
Gli2,0.4612302665318222,3.3650406539849076,4.239034352979556,0.7938224543095928,0.4272987986953409,NA
Gm17769,0.581476556812979,3.3644250559444515,3.5589610124833113,0.9453391155855568,0.34448577473652736,NA
5930430L01Rik,19.506902139786188,3.346168131444862,0.6965692364044622,4.803783969440064,1.5569481181568355e-6,4.953218126808951e-5
Ptprd,0.45687818170035355,3.3455916790562337,4.2394793699789455,0.7891515412829686,0.43002344067377224,NA
Fbxo15,1.1551286499862778,3.339761720827563,2.530981802567418,1.3195518503687866,0.18698468779410413,NA
Cdhr5,0.952254626173867,3.330121380102586,2.875604466579205,1.1580596075732454,0.24683971214051567,NA
Agbl2,2.2653172871591205,3.3225121265095003,1.5505338802367024,2.142818140808565,0.03212770406739026,NA
Gprc5c,2.000797297806051,3.3081923934679334,1.6251526377990737,2.0356194959928082,0.04178857854860067,NA
Egfr,1.6874398079362316,3.305938310107097,1.6437502532629726,2.011216912997915,0.04430255008756949,NA
Piezo2,0.44047765908958153,3.2944331462746943,4.240678742001469,0.7768645885964528,0.4372386654150481,NA
Opn1mw,0.4381362033923592,3.293954888303703,4.240690154491729,0.7767497195744787,0.43730644672616736,NA
1700003G18Rik,0.6907453897969252,3.2885151739803535,3.5100996668921063,0.9368723073587404,0.34882424551451974,NA
Atp6v1b1,0.6255194251434698,3.279237052333453,3.5513388864521107,0.9233804931552181,0.35580895367157844,NA
9230102O04Rik,0.8743191900481028,3.2627517257788625,2.264677142507431,1.4407138503488282,0.14966554036230906,NA
Frzb,0.42407713647880946,3.241517585760306,4.241964466921271,0.7641548181361669,0.44477498795552556,NA
Slc35f1,0.41972505164734086,3.219726075868764,4.242507686195182,0.7589205050459951,0.4479001120219496,NA
Mir99ahg,0.41972505164734086,3.219726075868764,4.242507686195182,0.7589205050459951,0.4479001120219496,NA
4930474M22Rik,0.41972505164734086,3.219726075868764,4.242507686195182,0.7589205050459951,0.4479001120219496,NA
Prkg2,0.41972505164734086,3.219726075868764,4.242507686195182,0.7589205050459951,0.4479001120219496,NA
Hoxa10,0.41972505164734086,3.219726075868764,4.242507686195182,0.7589205050459951,0.4479001120219496,NA
Tead1,0.41972505164734086,3.219726075868764,4.242507686195182,0.7589205050459951,0.4479001120219496,NA
9530091C08Rik,0.41972505164734086,3.219726075868764,4.242507686195182,0.7589205050459951,0.4479001120219496,NA
Ctf1,0.6665999806041735,3.2197244017015145,4.242507155921382,0.7589202052865504,0.4479002913485805,NA
LOC100038947,0.5474902660681986,3.2197227961311987,4.24250776856281,0.7589197172458946,0.4479005833117339,NA
Igfn1,0.41738359595011854,3.219607614087544,4.242510661486966,0.7588920502462797,0.44791713486467094,NA
Igfbp5,0.808808104002553,3.2195739068066755,4.199225385918589,0.7667066210837329,0.44325596613384055,NA
Lrrc10b,0.9306121973092979,3.21922923577213,4.103623349907378,0.7844845789379745,0.4327558270842478,NA
Tceal1,5.58571426496555,3.21702927066347,1.7243180684607484,1.865682051070325,0.06208586233084374,0.2448796564968021
Slc6a19,808.1145290362698,3.1993577391145647,0.38662794912376425,8.275029641197543,1.284236680366896e-16,3.3871386729528987e-14
Ccdc65,0.6818403110710439,3.1984775467349746,3.5152772016090403,0.9098791825779606,0.3628862295051128,NA
4930471G03Rik,0.4099901074435984,3.1870322763917107,4.243338078536932,0.7510672535172057,0.45261218209324644,NA
AI118078,0.5360509880715107,3.187027608447498,4.243337845494821,0.7510661947012269,0.45261281928115166,NA
Smarca1,0.5389322396948351,3.187027600742973,4.243337843019212,0.7510661933237315,0.4526128201101189,NA
Hgf,0.9125469620194908,3.180201094492562,2.933455662730754,1.0841142529940653,0.2783141440421124,NA
Amotl1,1.397285930009208,3.1784644981809254,3.1350462627439737,1.0138493125134778,0.3106546608389482,NA
6430573F11Rik,1.193910132208968,3.164768303895574,2.332654490866514,1.3567239881805016,0.174868927461649,NA
Lpar4,0.6603547560874081,3.1516928565886024,3.5670725553912166,0.8835516540938266,0.3769382869259278,NA
Ascl2,1.6122571945804238,3.148746413198045,1.6852007273309297,1.8684696500132194,0.06169663668309694,NA
Scgb1c1,0.45559738686067586,3.1406951844803315,4.244547212387014,0.7399364472409987,0.45933855768841525,NA
Gpc3,0.532206116332686,3.1406938304144925,4.244547427423583,0.739936090741452,0.45933877401490114,NA
Col12a1,10.963622397152733,3.1233026126529384,0.9551753307532002,3.2698736159675197,0.0010759554486546767,0.012894883878654251
Snord61,0.6550374791121583,3.119520121137662,4.245112585233437,0.7348497969144254,0.46243097588295945,NA
Fbn1,1.1492657320014887,3.11179669881648,2.932803093263274,1.06103157963941,0.2886755498217322,NA
4930503B20Rik,2.6479481728063816,3.1090955694006315,1.8206369195519514,1.7076966505577413,0.08769264397322163,NA
Ror2,0.3869240064257968,3.1058843146666786,4.245481532195955,0.7315740961568086,0.4644285637362997,NA
Fibin,0.3869240064257968,3.1058843146666786,4.245481532195955,0.7315740961568086,0.4644285637362997,NA
Sfrp1,0.3869240064257968,3.1058843146666786,4.245481532195955,0.7315740961568086,0.4644285637362997,NA
Wwtr1,0.5179087894112505,3.105883315658611,4.2454815593221165,0.7315738561715796,0.4644287102597934,NA
Avpr1a,0.5704148698013389,3.1046436341749275,3.6395446529982043,0.853030785490533,0.39364223229213063,NA
6720468P15Rik,1.5190936355392926,3.0929412641619614,1.9351230075537702,1.598317653238909,0.10997230058874181,NA
Bpifa2,34.564281054267276,3.072009156273757,4.0956946270563055,0.7500581552100966,NA,NA
Calm4,0.3771890622220543,3.0706879566237224,4.246448979948673,0.723119003930865,0.46960677475124113,NA
Cfap61,0.4361554605748522,3.0702045076346196,3.765461261536053,0.8153594724228246,0.414866575458055,NA
Acmsd,0.5053090718230013,3.0690134134752514,3.0691550967616665,0.9999538363875567,0.3173328488640714,NA
Actc1,0.8942217295644769,3.066389155821074,2.367539924997192,1.2951794913552348,0.19525831791914267,NA
Gm4832,0.6387033360409005,3.061474435289424,2.5501403271683922,1.200512145419387,0.22994049856280696,NA
Itga8,2.4260437611173615,3.059152977640163,1.7068700878676137,1.7922588247251736,0.0730915156807758,NA
Rfpl4,0.7928277069779295,3.057000713882554,3.5092510053901607,0.8711262628940031,0.38368521565559055,NA
S100a16,0.6744183049817881,3.046359545878614,3.3126901602943577,0.9196029204276448,0.3577803000352055,NA
Gm16070,0.3705234838150247,3.045673301768289,4.247150903003478,0.7171097451739861,0.47330638313836976,NA
Lama2,1.1808101255873633,3.0455172888613564,3.5998652323359392,0.8460086954102811,0.39754789347822,NA
Gm5833,0.6221126132224449,3.021098778082573,2.9588355261022894,1.0210431608756245,0.30723399039659194,NA
1700100L14Rik,0.3638299432863338,3.020699204121256,4.247863806555648,0.7111101818894165,0.4770159609511811,NA
Zyg11a,0.3638299432863338,3.020699204121256,4.247863806555648,0.7111101818894165,0.4770159609511811,NA
Ern2,0.3638299432863338,3.020699204121256,4.247863806555648,0.7111101818894165,0.4770159609511811,NA
Grm6,465.5983800457529,3.003999417437915,0.43616308551252175,6.8873307192148285,5.684895732816324e-12,6.576625658509331e-10
Gabbr2,5.188474424853275,3.000400947737004,1.3162274743175624,2.279545903942365,0.02263463448303828,0.1252825676131158
Gtf2a1l,0.7990170815091817,2.990446977803592,2.2218194557482094,1.3459450857119906,0.17832022714396453,NA
Slc16a9,0.6123776690187024,2.9861297220697978,2.965366782485873,1.0070018116162074,0.3139339036099897,NA
Gm6524,0.48186021350344904,2.984318107265347,3.6922239961481313,0.8082711423734587,0.4189345111249879,NA
