ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
10450920,0.008913462913716199,7.54988238488115e-4,-5.7413990398055414,-3.82890206233108,-6419.446233333335,AY036118,cDNA sequence AY036118
10565811,0.0013969757622852947,3.463230974177055e-5,-9.467617750217592,-3.7016573053669326,-6138.514800000001,Snord15b,"small nucleolar RNA, C/D box 14B"
10381460,0.003944188089896012,2.0479012070963163e-4,-7.13984889902344,-3.7619381513636663,-5990.323066666668,Rdm1///Rnu2-10,RAD52 motif 1///U2 small nuclear RNA 10
10381458,0.006263446704065979,4.339238367427184e-4,-6.307352754559398,-3.797611934335737,-5970.518966666668,Rdm1///Rnu2-10,RAD52 motif 1///U2 small nuclear RNA 10
10578688,0.00393230764063122,2.0322126021564491e-4,-7.148793980616521,-3.761608900359471,-5781.6905000000015,Rdm1///Rnu2-10,RAD52 motif 1///U2 small nuclear RNA 10
10603736,0.005215479998201449,3.189307245509593e-4,-6.639170841963664,-3.782108372362958,-5284.468333333335,Rdm1///Rnu2-10,RAD52 motif 1///U2 small nuclear RNA 10
10500677,5.013241039050086e-4,4.284649471622134e-6,-13.031872838847542,-3.6601879143335765,-4635.455000000002,Cd2,CD2 antigen
10545479,2.2968182076950496e-4,1.1520033543129813e-6,-15.868693296450546,-3.644256053342219,-4318.919366666669,Tmsb10,"thymosin, beta 10"
10445185,0.008476084169281226,7.033360910871348e-4,-5.811705029424973,-3.8246387304107525,-4042.0635333333375,Rn45s///Baiap2l1///Rn18s,45S pre-ribosomal RNA///BAI1-associated protein 2-like 1///18S ribosomal RNA
10551009,5.81049457827045e-5,1.2647400776828217e-7,-22.01637232314041,-3.6279211884843274,-3707.9182666666657,Tmsb10,"thymosin, beta 10"
10466040,0.003449564865253759,1.6112845438519277e-4,-7.422983199257449,-3.751989234212613,-3279.8301333333334,Cd5,CD5 antigen
10451763,0.015324483323057986,0.0017184801337212477,-4.966989058708389,-3.884568524944222,-3222.7040000000015,Satb1,special AT-rich sequence binding protein 1
10375121,0.005674524133079091,3.665830934217694e-4,-6.4875123712669165,-3.7889621637631623,-3159.8669,C530030P08Rik,RIKEN cDNA C530030P08 gene
10593865,0.2529715617603223,0.10142411704956025,-1.8904518260784506,-4.38748137633707,-3129.9936666666654,Rn45s///Cdk8///Rn28s1,45S pre-ribosomal RNA///cyclin-dependent kinase 8///28S ribosomal RNA
10606369,8.270488485223236e-4,1.2692896563759205e-5,-11.051305883320104,-3.6786939733243154,-3109.974633333334,Itm2a,integral membrane protein 2A
10427035,0.0026355821799680683,1.0057132867144021e-4,-8.006015241481123,-3.734234095050928,-3093.4041666666676,Nr4a1,"nuclear receptor subfamily 4, group A, member 1"
10379650,0.017138962774615595,0.002048670656672011,-4.810755028165717,-3.8980595969030105,-2912.1893333333337,,
10465244,0.030673093695161885,0.004775363274906834,-4.09832588357515,-3.971941554338793,-2817.342933333335,Malat1,metastasis associated lung adenocarcinoma transcript 1 (non-coding RNA)
10496091,0.00946668957439913,8.246602626603205e-4,-5.654661610680914,-3.834324143714203,-2742.588566666668,Lef1,lymphoid enhancer binding factor 1
10512487,0.005465775571953721,3.462988374975895e-4,-6.54918626441237,-3.78612951523924,-2687.7866,Rmrp,RNA component of mitochondrial RNAase P
10375123,0.004515739375426166,2.5294808474821156e-4,-6.897613542664863,-3.771253845835205,-2600.2101666666676,C530030P08Rik,RIKEN cDNA C530030P08 gene
10590620,0.0032241911494969985,1.4403176658901975e-4,-7.558487171852054,-3.7475538130429364,-2534.7969999999996,Ccr9,chemokine (C-C motif) receptor 9
10595140,0.08123825201941161,0.019747264695192824,-3.0233798571142803,-4.134057952193917,-2473.5387666666666,Rn7sk,"RNA, 7SK, nuclear"
10576795,0.002103104236320009,6.953526565796033e-5,-8.4885126110657,-3.7218529762314274,-2431.7996333333335,,
10346783,7.423898298843523e-4,1.0098312829259105e-5,-11.443802457536107,-3.674310202133017,-1958.4842000000003,Cd28,CD28 antigen
10374333,0.00664519497153009,4.783516482996943e-4,-6.204931430936834,-3.802791811605446,-1948.3345000000002,Ikzf1,IKAROS family zinc finger 1
10501063,0.005054764144691269,3.0403223870043385e-4,-6.6918913555528325,-3.7798122395095715,-1938.8626666666682,Cd53,CD53 antigen
10571653,0.005511265049229744,3.5086616857422784e-4,-6.534950832576166,-3.786777722462174,-1921.3943333333355,Actg1///Actb,"actin, gamma, cytoplasmic 1///actin, beta"
