ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
10485372,4.5647846489126744e-5,1.417220750920474e-7,21.649814527301235,-3.6285330230120643,6665.823066666669,Rag1,recombination activating gene 1
10450920,0.01410839763072889,0.002123433544895757,4.779263497529579,-3.900885130236813,5343.6845,AY036118,cDNA sequence AY036118
10381460,0.019196669177942275,0.0033310430607076382,4.39388142898609,-3.9386138522482765,3686.4602666666683,Rdm1///Rnu2-10,RAD52 motif 1///U2 small nuclear RNA 10
10381458,0.03467555018773847,0.00796555351997443,3.695843256720396,-4.024479089820094,3498.472833333335,Rdm1///Rnu2-10,RAD52 motif 1///U2 small nuclear RNA 10
10603736,0.021627264063621483,0.003975383062171977,4.2474332708493785,-3.954613409683134,3380.7574999999997,Rdm1///Rnu2-10,RAD52 motif 1///U2 small nuclear RNA 10
10578688,0.023953444698213644,0.004656706506815067,4.118628311078295,-3.969518119220041,3331.0002000000004,Rdm1///Rnu2-10,RAD52 motif 1///U2 small nuclear RNA 10
10565811,0.011946577990865796,0.0016552256561455578,5.000726058379764,-3.881766547622797,3242.3183666666673,Snord15b,"small nucleolar RNA, C/D box 14B"
10446334,5.1678886351729e-4,1.0599802824917229e-5,11.35957026896803,-3.6752158011274934,2850.4872333333346,Glcci1,glucocorticoid induced transcript 1
10538993,0.01146774747174596,0.0015592147330878662,5.054776102705374,-3.8773568263245948,2708.9558666666685,Cd8a,"CD8 antigen, alpha chain"
10465244,0.03454896224352735,0.007913386375348332,3.7008930550473016,-4.023763957954789,2544.1327,Malat1,metastasis associated lung adenocarcinoma transcript 1 (non-coding RNA)
10543118,7.832613433303732e-6,1.3828544702085074e-8,30.48078075615138,-3.6192801942957353,2409.8061333333335,,
10451763,0.044941455590337895,0.01164561111477418,3.4087195106272348,-4.067680777328741,2211.660600000001,Satb1,special AT-rich sequence binding protein 1
10590620,0.005092955174753491,4.375257615418997e-4,6.298618742102916,-3.798046017749771,2112.2904,Ccr9,chemokine (C-C motif) receptor 9
10375121,0.023174666145570778,0.0044342521451139535,4.15826921383139,-3.9648452303168606,2025.3645,C530030P08Rik,RIKEN cDNA C530030P08 gene
10445185,0.07249439596972801,0.023707139360937456,2.893202933178263,-4.158794472518693,2012.2339333333293,Rn45s///Baiap2l1///Rn18s,45S pre-ribosomal RNA///BAI1-associated protein 2-like 1///18S ribosomal RNA
10576795,0.0049441183720143255,4.151101975793094e-4,6.354337741689185,-3.795300637460369,1820.3985666666663,,
10437160,3.562735378163353e-5,9.578014217837439e-8,22.93716007792015,-3.6265089922273828,1720.961166666667,Ets2,"E26 avian leukemia oncogene 2, 3' domain"
10575598,5.81251126293754e-4,1.2927242034197451e-5,11.020439668208093,-3.679057079635996,1705.8306000000005,Znrf1,zinc and ring finger 1
10547100,3.796898604525225e-4,6.136211251332347e-6,12.343333420184246,-3.665688896807084,1667.2776333333336,Plxnd1,plexin D1
10375123,0.023621684834871898,0.004557140706446677,4.136107645071885,-3.9674480926156206,1559.1985666666667,C530030P08Rik,RIKEN cDNA C530030P08 gene
10538979,2.926739984800732e-4,3.7109775908716447e-6,13.31730784857802,-3.6581392422013432,1557.2633000000003,Cd8b1,"CD8 antigen, beta chain 1"
10503259,0.0011078271155211118,3.6813508823806746e-5,9.378090271217527,-3.7032743731406423,1552.986266666667,Trp53inp1,transformation related protein 53 inducible nuclear protein 1
10547894,4.870905421341267e-4,9.512589942515113e-6,11.548431304424476,-3.673210709646947,1497.1971000000003,Cd4,CD4 antigen
10512487,0.0422891280419989,0.010667049428510201,3.4742676359797544,-4.057367299993974,1425.8397333333332,Rmrp,RNA component of mitochondrial RNAase P
10362350,0.01440500129639772,0.0021947838308701505,4.750336323734292,-3.9035130263940623,1368.0301666666676,Themis,thymocyte selection associated
10379650,0.14419285061455211,0.06536757989901332,2.190572710349535,-4.312676932627656,1326.0626333333335,,
10494023,0.005846306541731974,5.456427660728903e-4,6.068580205346448,-3.8100021735499823,1306.744333333334,Rorc,RAR-related orphan receptor gamma
10365971,0.009503007310423714,0.0011649285247383185,5.323814324534113,-3.85678295994921,1218.0876000000003,Btg1,"B cell translocation gene 1, anti-proliferative"
10485370,0.002359590581761116,1.2786546063894215e-4,7.704499591852765,-3.7429925111289966,1089.0250666666668,B230118H07Rik,RIKEN cDNA B230118H07 gene
10373542,0.02264974200643763,0.004259663782367915,4.190943249004226,-3.9610514311973763,1057.5682000000006,Dgka,"diacylglycerol kinase, alpha"
10510129,5.81251126293754e-4,1.2981524990825716e-5,11.0133807612125,-3.6791405135827344,1039.4183666666672,Dhrs3,dehydrogenase/reductase (SDR family) member 3
10491058,0.00861099902226658,0.0010120221545710142,5.456955457989515,-3.8473912761073175,1021.9448333333335,Rprl2,ribonuclease P RNA-like 2
10358224,0.02751943071603527,0.005707725598715445,3.9558312532468833,-3.989542183905219,1021.5877333333337,Ptprc,"protein tyrosine phosphatase, receptor type, C"
